id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,playlist,cluster
5CQ30WqJwcep0pYcV4AMNc,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc,482830,4,1970s.csv,6
7iN1s7xHE4ifF5povM6A48,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,audio_features,spotify:track:7iN1s7xHE4ifF5povM6A48,https://api.spotify.com/v1/tracks/7iN1s7xHE4ifF5povM6A48,https://api.spotify.com/v1/audio-analysis/7iN1s7xHE4ifF5povM6A48,243027,4,1970s.csv,13
0pQskrTITgmCMyr85tb9qq,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,audio_features,spotify:track:0pQskrTITgmCMyr85tb9qq,https://api.spotify.com/v1/tracks/0pQskrTITgmCMyr85tb9qq,https://api.spotify.com/v1/audio-analysis/0pQskrTITgmCMyr85tb9qq,254293,4,1970s.csv,20
3Vby4nGmtbDo7HDJamOWkT,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,audio_features,spotify:track:3Vby4nGmtbDo7HDJamOWkT,https://api.spotify.com/v1/tracks/3Vby4nGmtbDo7HDJamOWkT,https://api.spotify.com/v1/audio-analysis/3Vby4nGmtbDo7HDJamOWkT,208947,4,1970s.csv,1
7LRMbd3LEoV5wZJvXT1Lwb,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,audio_features,spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,https://api.spotify.com/v1/tracks/7LRMbd3LEoV5wZJvXT1Lwb,https://api.spotify.com/v1/audio-analysis/7LRMbd3LEoV5wZJvXT1Lwb,214667,4,1970s.csv,17
7pKfPomDEeI4TPT6EOYjn9,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,audio_features,spotify:track:7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/tracks/7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/audio-analysis/7pKfPomDEeI4TPT6EOYjn9,187867,4,1970s.csv,13
2eF8pWbiivYsYRpbntYsnc,0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875,audio_features,spotify:track:2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/tracks/2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/audio-analysis/2eF8pWbiivYsYRpbntYsnc,161160,4,1970s.csv,1
4IRHwIZHzlHT1FQpRa5RdE,0.559,0.473,5,-7.712,1,0.0279,0.446,0.00141,0.154,0.397,121.227,audio_features,spotify:track:4IRHwIZHzlHT1FQpRa5RdE,https://api.spotify.com/v1/tracks/4IRHwIZHzlHT1FQpRa5RdE,https://api.spotify.com/v1/audio-analysis/4IRHwIZHzlHT1FQpRa5RdE,192827,4,1970s.csv,5
2JoZzpdeP2G6Csfdq5aLXP,0.633,0.357,5,-9.366,0,0.0264,0.105,0.0,0.133,0.674,104.938,audio_features,spotify:track:2JoZzpdeP2G6Csfdq5aLXP,https://api.spotify.com/v1/tracks/2JoZzpdeP2G6Csfdq5aLXP,https://api.spotify.com/v1/audio-analysis/2JoZzpdeP2G6Csfdq5aLXP,245200,4,1970s.csv,8
5LxvwujISqiB8vpRYv887S,0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,audio_features,spotify:track:5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/tracks/5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/audio-analysis/5LxvwujISqiB8vpRYv887S,176333,4,1970s.csv,15
